Time	Total iterations	Partial iterations	k	lambda
0	10000	900	5.0	1.0
47	10000	900	25.0	0.001
51	10000	900	25.0	0.01
31	10000	900	25.0	0.1
0	10000	900	25.0	1.0
52	10000	900	125.0	0.001
46	10000	900	125.0	0.01
32	10000	900	125.0	0.1
0	10000	900	125.0	1.0
37	10000	1000	1.0	0.001
47	10000	1000	1.0	0.01
31	10000	1000	1.0	0.1
18	10000	1000	1.0	1.0
33	10000	1000	5.0	0.001
47	10000	1000	5.0	0.01
36	10000	1000	5.0	0.1
0	10000	1000	5.0	1.0
47	10000	1000	25.0	0.001
47	10000	1000	25.0	0.01
35	10000	1000	25.0	0.1
16	10000	1000	25.0	1.0
31	10000	1000	125.0	0.001
52	10000	1000	125.0	0.01
31	10000	1000	125.0	0.1
16	10000	1000	125.0	1.0
0	1000	100	1.0	0.001
0	1000	100	1.0	0.01
0	1000	100	1.0	0.1
15	1000	100	1.0	1.0
0	1000	100	5.0	0.001
0	1000	100	5.0	0.01
16	1000	100	5.0	0.1
0	1000	100	5.0	1.0
0	1000	100	25.0	0.001
0	1000	100	25.0	0.01
16	1000	100	25.0	0.1
0	1000	100	25.0	1.0
0	1000	100	125.0	0.001
15	1000	100	125.0	0.01
5	1000	100	125.0	0.1
0	1000	100	125.0	1.0
0	1000	200	1.0	0.001
0	1000	200	1.0	0.01
15	1000	200	1.0	0.1
0	1000	200	1.0	1.0
0	1000	200	5.0	0.001
0	1000	200	5.0	0.01
16	1000	200	5.0	0.1
0	1000	200	5.0	1.0
0	1000	200	25.0	0.001
0	1000	200	25.0	0.01
16	1000	200	25.0	0.1
0	1000	200	25.0	1.0
0	1000	200	125.0	0.001
15	1000	200	125.0	0.01
0	1000	200	125.0	0.1
0	1000	200	125.0	1.0
0	1000	300	1.0	0.001
18	1000	300	1.0	0.01
4	1000	300	1.0	0.1
4	1000	300	1.0	1.0
4	1000	300	5.0	0.001
5	1000	300	5.0	0.01
5	1000	300	5.0	0.1
4	1000	300	5.0	1.0
4	1000	300	25.0	0.001
5	1000	300	25.0	0.01
5	1000	300	25.0	0.1
0	1000	300	25.0	1.0
0	1000	300	125.0	0.001
0	1000	300	125.0	0.01
16	1000	300	125.0	0.1
0	1000	300	125.0	1.0
0	1000	400	1.0	0.001
0	1000	400	1.0	0.01
15	1000	400	1.0	0.1
0	1000	400	1.0	1.0
0	1000	400	5.0	0.001
16	1000	400	5.0	0.01
0	1000	400	5.0	0.1
0	1000	400	5.0	1.0
0	1000	400	25.0	0.001
16	1000	400	25.0	0.01
0	1000	400	25.0	0.1
0	1000	400	25.0	1.0
0	1000	400	125.0	0.001
17	1000	400	125.0	0.01
3	1000	400	125.0	0.1
0	1000	400	125.0	1.0
0	1000	500	1.0	0.001
0	1000	500	1.0	0.01
15	1000	500	1.0	0.1
0	1000	500	1.0	1.0
0	1000	500	5.0	0.001
16	1000	500	5.0	0.01
0	1000	500	5.0	0.1
0	1000	500	5.0	1.0
16	1000	500	25.0	0.001
0	1000	500	25.0	0.01
0	1000	500	25.0	0.1
0	1000	500	25.0	1.0
15	1000	500	125.0	0.001
0	1000	500	125.0	0.01
0	1000	500	125.0	0.1
16	1000	500	125.0	1.0
0	1000	600	1.0	0.001
0	1000	600	1.0	0.01
0	1000	600	1.0	0.1
15	1000	600	1.0	1.0
0	1000	600	5.0	0.001
0	1000	600	5.0	0.01
16	1000	600	5.0	0.1
4	1000	600	5.0	1.0
0	1000	600	25.0	0.001
0	1000	600	25.0	0.01
0	1000	600	25.0	0.1
16	1000	600	25.0	1.0
0	1000	600	125.0	0.001
0	1000	600	125.0	0.01
0	1000	600	125.0	0.1
16	1000	600	125.0	1.0
0	1000	700	1.0	0.001
0	1000	700	1.0	0.01
15	1000	700	1.0	0.1
0	1000	700	1.0	1.0
0	1000	700	5.0	0.001
16	1000	700	5.0	0.01
0	1000	700	5.0	0.1
0	1000	700	5.0	1.0
0	1000	700	25.0	0.001
16	1000	700	25.0	0.01
0	1000	700	25.0	0.1
0	1000	700	25.0	1.0
0	1000	700	125.0	0.001
15	1000	700	125.0	0.01
0	1000	700	125.0	0.1
0	1000	700	125.0	1.0
17	1000	800	1.0	0.001
3	1000	800	1.0	0.01
0	1000	800	1.0	0.1
0	1000	800	1.0	1.0
0	1000	800	5.0	0.001
16	1000	800	5.0	0.01
0	1000	800	5.0	0.1
0	1000	800	5.0	1.0
16	1000	800	25.0	0.001
0	1000	800	25.0	0.01
0	1000	800	25.0	0.1
0	1000	800	25.0	1.0
15	1000	800	125.0	0.001
0	1000	800	125.0	0.01
0	1000	800	125.0	0.1
0	1000	800	125.0	1.0
16	1000	900	1.0	0.001
0	1000	900	1.0	0.01
0	1000	900	1.0	0.1
15	1000	900	1.0	1.0
0	1000	900	5.0	0.001
0	1000	900	5.0	0.01
0	1000	900	5.0	0.1
16	1000	900	5.0	1.0
0	1000	900	25.0	0.001
0	1000	900	25.0	0.01
16	1000	900	25.0	0.1
4	1000	900	25.0	1.0
0	1000	900	125.0	0.001
0	1000	900	125.0	0.01
0	1000	900	125.0	0.1
16	1000	900	125.0	1.0
0	1000	1000	1.0	0.001
0	1000	1000	1.0	0.01
0	1000	1000	1.0	0.1
16	1000	1000	1.0	1.0
0	1000	1000	5.0	0.001
0	1000	1000	5.0	0.01
15	1000	1000	5.0	0.1
0	1000	1000	5.0	1.0
0	1000	1000	25.0	0.001
0	1000	1000	25.0	0.01
16	1000	1000	25.0	0.1
0	1000	1000	25.0	1.0
0	1000	1000	125.0	0.001
15	1000	1000	125.0	0.01
0	1000	1000	125.0	0.1
0	1000	1000	125.0	1.0
16	2000	100	1.0	0.001
0	2000	100	1.0	0.01
20	2000	100	1.0	0.1
0	2000	100	1.0	1.0
0	2000	100	5.0	0.001
16	2000	100	5.0	0.01
15	2000	100	5.0	0.1
0	2000	100	5.0	1.0
0	2000	100	25.0	0.001
16	2000	100	25.0	0.01
16	2000	100	25.0	0.1
3	2000	100	25.0	1.0
4	2000	100	125.0	0.001
0	2000	100	125.0	0.01
16	2000	100	125.0	0.1
0	2000	100	125.0	1.0
20	2000	200	1.0	0.001
0	2000	200	1.0	0.01
16	2000	200	1.0	0.1
0	2000	200	1.0	1.0
15	2000	200	5.0	0.001
0	2000	200	5.0	0.01
16	2000	200	5.0	0.1
0	2000	200	5.0	1.0
15	2000	200	25.0	0.001
0	2000	200	25.0	0.01
16	2000	200	25.0	0.1
0	2000	200	25.0	1.0
0	2000	200	125.0	0.001
16	2000	200	125.0	0.01
18	2000	200	125.0	0.1
2	2000	200	125.0	1.0
0	2000	300	1.0	0.001
15	2000	300	1.0	0.01
0	2000	300	1.0	0.1
16	2000	300	1.0	1.0
0	2000	300	5.0	0.001
16	2000	300	5.0	0.01
0	2000	300	5.0	0.1
15	2000	300	5.0	1.0
0	2000	300	25.0	0.001
16	2000	300	25.0	0.01
0	2000	300	25.0	0.1
16	2000	300	25.0	1.0
0	2000	300	125.0	0.001
18	2000	300	125.0	0.01
8	2000	300	125.0	0.1
0	2000	300	125.0	1.0
15	2000	400	1.0	0.001
0	2000	400	1.0	0.01
16	2000	400	1.0	0.1
0	2000	400	1.0	1.0
0	2000	400	5.0	0.001
16	2000	400	5.0	0.01
15	2000	400	5.0	0.1
0	2000	400	5.0	1.0
0	2000	400	25.0	0.001
23	2000	400	25.0	0.01
10	2000	400	25.0	0.1
3	2000	400	25.0	1.0
9	2000	400	125.0	0.001
10	2000	400	125.0	0.01
8	2000	400	125.0	0.1
0	2000	400	125.0	1.0
0	2000	500	1.0	0.001
15	2000	500	1.0	0.01
16	2000	500	1.0	0.1
0	2000	500	1.0	1.0
0	2000	500	5.0	0.001
16	2000	500	5.0	0.01
15	2000	500	5.0	0.1
0	2000	500	5.0	1.0
0	2000	500	25.0	0.001
20	2000	500	25.0	0.01
0	2000	500	25.0	0.1
16	2000	500	25.0	1.0
0	2000	500	125.0	0.001
16	2000	500	125.0	0.01
0	2000	500	125.0	0.1
15	2000	500	125.0	1.0
0	2000	600	1.0	0.001
16	2000	600	1.0	0.01
0	2000	600	1.0	0.1
15	2000	600	1.0	1.0
0	2000	600	5.0	0.001
16	2000	600	5.0	0.01
16	2000	600	5.0	0.1
4	2000	600	5.0	1.0
0	2000	600	25.0	0.001
16	2000	600	25.0	0.01
0	2000	600	25.0	0.1
15	2000	600	25.0	1.0
0	2000	600	125.0	0.001
16	2000	600	125.0	0.01
0	2000	600	125.0	0.1
16	2000	600	125.0	1.0
0	2000	700	1.0	0.001
15	2000	700	1.0	0.01
0	2000	700	1.0	0.1
16	2000	700	1.0	1.0
0	2000	700	5.0	0.001
20	2000	700	5.0	0.01
0	2000	700	5.0	0.1
16	2000	700	5.0	1.0
0	2000	700	25.0	0.001
15	2000	700	25.0	0.01
0	2000	700	25.0	0.1
16	2000	700	25.0	1.0
0	2000	700	125.0	0.001
16	2000	700	125.0	0.01
0	2000	700	125.0	0.1
15	2000	700	125.0	1.0
0	2000	800	1.0	0.001
16	2000	800	1.0	0.01
16	2000	800	1.0	0.1
4	2000	800	1.0	1.0
0	2000	800	5.0	0.001
15	2000	800	5.0	0.01
0	2000	800	5.0	0.1
0	2000	800	5.0	1.0
16	2000	800	25.0	0.001
16	2000	800	25.0	0.01
0	2000	800	25.0	0.1
0	2000	800	25.0	1.0
15	2000	800	125.0	0.001
0	2000	800	125.0	0.01
16	2000	800	125.0	0.1
0	2000	800	125.0	1.0
16	2000	900	1.0	0.001
0	2000	900	1.0	0.01
20	2000	900	1.0	0.1
0	2000	900	1.0	1.0
15	2000	900	5.0	0.001
0	2000	900	5.0	0.01
16	2000	900	5.0	0.1
0	2000	900	5.0	1.0
15	2000	900	25.0	0.001
0	2000	900	25.0	0.01
16	2000	900	25.0	0.1
0	2000	900	25.0	1.0
17	2000	900	125.0	0.001
9	2000	900	125.0	0.01
9	2000	900	125.0	0.1
3	2000	900	125.0	1.0
5	2000	1000	1.0	0.001
0	2000	1000	1.0	0.01
15	2000	1000	1.0	0.1
0	2000	1000	1.0	1.0
16	2000	1000	5.0	0.001
0	2000	1000	5.0	0.01
16	2000	1000	5.0	0.1
0	2000	1000	5.0	1.0
15	2000	1000	25.0	0.001
0	2000	1000	25.0	0.01
16	2000	1000	25.0	0.1
0	2000	1000	25.0	1.0
18	2000	1000	125.0	0.001
2	2000	1000	125.0	0.01
16	2000	1000	125.0	0.1
0	2000	1000	125.0	1.0
15	3000	100	1.0	0.001
16	3000	100	1.0	0.01
16	3000	100	1.0	0.1
0	3000	100	1.0	1.0
15	3000	100	5.0	0.001
0	3000	100	5.0	0.01
16	3000	100	5.0	0.1
16	3000	100	5.0	1.0
13	3000	100	25.0	0.001
8	3000	100	25.0	0.01
16	3000	100	25.0	0.1
0	3000	100	25.0	1.0
15	3000	100	125.0	0.001
16	3000	100	125.0	0.01
15	3000	100	125.0	0.1
0	3000	100	125.0	1.0
18	3000	200	1.0	0.001
15	3000	200	1.0	0.01
13	3000	200	1.0	0.1
3	3000	200	1.0	1.0
10	3000	200	5.0	0.001
16	3000	200	5.0	0.01
0	3000	200	5.0	0.1
16	3000	200	5.0	1.0
15	3000	200	25.0	0.001
0	3000	200	25.0	0.01
20	3000	200	25.0	0.1
0	3000	200	25.0	1.0
16	3000	200	125.0	0.001
16	3000	200	125.0	0.01
15	3000	200	125.0	0.1
0	3000	200	125.0	1.0
16	3000	300	1.0	0.001
16	3000	300	1.0	0.01
15	3000	300	1.0	0.1
0	3000	300	1.0	1.0
20	3000	300	5.0	0.001
0	3000	300	5.0	0.01
16	3000	300	5.0	0.1
16	3000	300	5.0	1.0
0	3000	300	25.0	0.001
15	3000	300	25.0	0.01
16	3000	300	25.0	0.1
0	3000	300	25.0	1.0
15	3000	300	125.0	0.001
16	3000	300	125.0	0.01
20	3000	300	125.0	0.1
0	3000	300	125.0	1.0
16	3000	400	1.0	0.001
15	3000	400	1.0	0.01
0	3000	400	1.0	0.1
16	3000	400	1.0	1.0
16	3000	400	5.0	0.001
0	3000	400	5.0	0.01
15	3000	400	5.0	0.1
16	3000	400	5.0	1.0
0	3000	400	25.0	0.001
20	3000	400	25.0	0.01
16	3000	400	25.0	0.1
0	3000	400	25.0	1.0
15	3000	400	125.0	0.001
16	3000	400	125.0	0.01
16	3000	400	125.0	0.1
0	3000	400	125.0	1.0
15	3000	500	1.0	0.001
16	3000	500	1.0	0.01
0	3000	500	1.0	0.1
19	3000	500	1.0	1.0
1	3000	500	5.0	0.001
16	3000	500	5.0	0.01
15	3000	500	5.0	0.1
0	3000	500	5.0	1.0
16	3000	500	25.0	0.001
15	3000	500	25.0	0.01
16	3000	500	25.0	0.1
0	3000	500	25.0	1.0
16	3000	500	125.0	0.001
20	3000	500	125.0	0.01
15	3000	500	125.0	0.1
0	3000	500	125.0	1.0
16	3000	600	1.0	0.001
16	3000	600	1.0	0.01
15	3000	600	1.0	0.1
0	3000	600	1.0	1.0
16	3000	600	5.0	0.001
16	3000	600	5.0	0.01
15	3000	600	5.0	0.1
5	3000	600	5.0	1.0
0	3000	600	25.0	0.001
15	3000	600	25.0	0.01
16	3000	600	25.0	0.1
16	3000	600	25.0	1.0
0	3000	600	125.0	0.001
15	3000	600	125.0	0.01
16	3000	600	125.0	0.1
15	3000	600	125.0	1.0
0	3000	700	1.0	0.001
28	3000	700	1.0	0.01
7	3000	700	1.0	0.1
0	3000	700	1.0	1.0
15	3000	700	5.0	0.001
16	3000	700	5.0	0.01
15	3000	700	5.0	0.1
0	3000	700	5.0	1.0
16	3000	700	25.0	0.001
25	3000	700	25.0	0.01
14	3000	700	25.0	0.1
6	3000	700	25.0	1.0
13	3000	700	125.0	0.001
1	3000	700	125.0	0.01
16	3000	700	125.0	0.1
15	3000	700	125.0	1.0
0	3000	800	1.0	0.001
16	3000	800	1.0	0.01
20	3000	800	1.0	0.1
0	3000	800	1.0	1.0
16	3000	800	5.0	0.001
15	3000	800	5.0	0.01
16	3000	800	5.0	0.1
0	3000	800	5.0	1.0
16	3000	800	25.0	0.001
15	3000	800	25.0	0.01
16	3000	800	25.0	0.1
0	3000	800	25.0	1.0
19	3000	800	125.0	0.001
1	3000	800	125.0	0.01
16	3000	800	125.0	0.1
0	3000	800	125.0	1.0
15	3000	900	1.0	0.001
16	3000	900	1.0	0.01
15	3000	900	1.0	0.1
0	3000	900	1.0	1.0
16	3000	900	5.0	0.001
23	3000	900	5.0	0.01
0	3000	900	5.0	0.1
16	3000	900	5.0	1.0
15	3000	900	25.0	0.001
0	3000	900	25.0	0.01
16	3000	900	25.0	0.1
16	3000	900	25.0	1.0
0	3000	900	125.0	0.001
15	3000	900	125.0	0.01
16	3000	900	125.0	0.1
0	3000	900	125.0	1.0
20	3000	1000	1.0	0.001
16	3000	1000	1.0	0.01
15	3000	1000	1.0	0.1
0	3000	1000	1.0	1.0
16	3000	1000	5.0	0.001
18	3000	1000	5.0	0.01
13	3000	1000	5.0	0.1
0	3000	1000	5.0	1.0
15	3000	1000	25.0	0.001
0	3000	1000	25.0	0.01
6	3000	1000	25.0	0.1
0	3000	1000	25.0	1.0
15	3000	1000	125.0	0.001
16	3000	1000	125.0	0.01
15	3000	1000	125.0	0.1
0	3000	1000	125.0	1.0
16	4000	100	1.0	0.001
16	4000	100	1.0	0.01
32	4000	100	1.0	0.1
4	4000	100	1.0	1.0
15	4000	100	5.0	0.001
16	4000	100	5.0	0.01
16	4000	100	5.0	0.1
0	4000	100	5.0	1.0
15	4000	100	25.0	0.001
31	4000	100	25.0	0.01
18	4000	100	25.0	0.1
4	4000	100	25.0	1.0
15	4000	100	125.0	0.001
16	4000	100	125.0	0.01
15	4000	100	125.0	0.1
0	4000	100	125.0	1.0
16	4000	200	1.0	0.001
31	4000	200	1.0	0.01
20	4000	200	1.0	0.1
4	4000	200	1.0	1.0
18	4000	200	5.0	0.001
3	4000	200	5.0	0.01
32	4000	200	5.0	0.1
0	4000	200	5.0	1.0
15	4000	200	25.0	0.001
16	4000	200	25.0	0.01
29	4000	200	25.0	0.1
4	4000	200	25.0	1.0
18	4000	200	125.0	0.001
10	4000	200	125.0	0.01
16	4000	200	125.0	0.1
0	4000	200	125.0	1.0
31	4000	300	1.0	0.001
18	4000	300	1.0	0.01
18	4000	300	1.0	0.1
0	4000	300	1.0	1.0
15	4000	300	5.0	0.001
16	4000	300	5.0	0.01
15	4000	300	5.0	0.1
16	4000	300	5.0	1.0
16	4000	300	25.0	0.001
20	4000	300	25.0	0.01
15	4000	300	25.0	0.1
0	4000	300	25.0	1.0
16	4000	300	125.0	0.001
16	4000	300	125.0	0.01
31	4000	300	125.0	0.1
0	4000	300	125.0	1.0
15	4000	400	1.0	0.001
22	4000	400	1.0	0.01
15	4000	400	1.0	0.1
0	4000	400	1.0	1.0
16	4000	400	5.0	0.001
31	4000	400	5.0	0.01
16	4000	400	5.0	0.1
0	4000	400	5.0	1.0
15	4000	400	25.0	0.001
21	4000	400	25.0	0.01
15	4000	400	25.0	0.1
0	4000	400	25.0	1.0
31	4000	400	125.0	0.001
16	4000	400	125.0	0.01
16	4000	400	125.0	0.1
0	4000	400	125.0	1.0
15	4000	500	1.0	0.001
20	4000	500	1.0	0.01
16	4000	500	1.0	0.1
16	4000	500	1.0	1.0
15	4000	500	5.0	0.001
16	4000	500	5.0	0.01
16	4000	500	5.0	0.1
0	4000	500	5.0	1.0
15	4000	500	25.0	0.001
20	4000	500	25.0	0.01
32	4000	500	25.0	0.1
0	4000	500	25.0	1.0
15	4000	500	125.0	0.001
16	4000	500	125.0	0.01
15	4000	500	125.0	0.1
0	4000	500	125.0	1.0
34	4000	600	1.0	0.001
18	4000	600	1.0	0.01
15	4000	600	1.0	0.1
0	4000	600	1.0	1.0
16	4000	600	5.0	0.001
16	4000	600	5.0	0.01
31	4000	600	5.0	0.1
0	4000	600	5.0	1.0
23	4000	600	25.0	0.001
9	4000	600	25.0	0.01
16	4000	600	25.0	0.1
15	4000	600	25.0	1.0
16	4000	600	125.0	0.001
16	4000	600	125.0	0.01
24	4000	600	125.0	0.1
6	4000	600	125.0	1.0
18	4000	700	1.0	0.001
11	4000	700	1.0	0.01
16	4000	700	1.0	0.1
16	4000	700	1.0	1.0
15	4000	700	5.0	0.001
21	4000	700	5.0	0.01
15	4000	700	5.0	0.1
0	4000	700	5.0	1.0
16	4000	700	25.0	0.001
31	4000	700	25.0	0.01
16	4000	700	25.0	0.1
0	4000	700	25.0	1.0
15	4000	700	125.0	0.001
20	4000	700	125.0	0.01
16	4000	700	125.0	0.1
16	4000	700	125.0	1.0
15	4000	800	1.0	0.001
16	4000	800	1.0	0.01
16	4000	800	1.0	0.1
0	4000	800	1.0	1.0
32	4000	800	5.0	0.001
3	4000	800	5.0	0.01
31	4000	800	5.0	0.1
0	4000	800	5.0	1.0
16	4000	800	25.0	0.001
16	4000	800	25.0	0.01
29	4000	800	25.0	0.1
0	4000	800	25.0	1.0
21	4000	800	125.0	0.001
15	4000	800	125.0	0.01
16	4000	800	125.0	0.1
0	4000	800	125.0	1.0
15	4000	900	1.0	0.001
16	4000	900	1.0	0.01
31	4000	900	1.0	0.1
0	4000	900	1.0	1.0
20	4000	900	5.0	0.001
16	4000	900	5.0	0.01
16	4000	900	5.0	0.1
0	4000	900	5.0	1.0
15	4000	900	25.0	0.001
32	4000	900	25.0	0.01
15	4000	900	25.0	0.1
0	4000	900	25.0	1.0
20	4000	900	125.0	0.001
16	4000	900	125.0	0.01
16	4000	900	125.0	0.1
0	4000	900	125.0	1.0
31	4000	1000	1.0	0.001
19	4000	1000	1.0	0.01
8	4000	1000	1.0	0.1
0	4000	1000	1.0	1.0
20	4000	1000	5.0	0.001
31	4000	1000	5.0	0.01
16	4000	1000	5.0	0.1
0	4000	1000	5.0	1.0
15	4000	1000	25.0	0.001
16	4000	1000	25.0	0.01
33	4000	1000	25.0	0.1
4	4000	1000	25.0	1.0
18	4000	1000	125.0	0.001
16	4000	1000	125.0	0.01
16	4000	1000	125.0	0.1
0	4000	1000	125.0	1.0
16	5000	100	1.0	0.001
36	5000	100	1.0	0.01
25	5000	100	1.0	0.1
4	5000	100	1.0	1.0
9	5000	100	5.0	0.001
32	5000	100	5.0	0.01
15	5000	100	5.0	0.1
0	5000	100	5.0	1.0
36	5000	100	25.0	0.001
16	5000	100	25.0	0.01
31	5000	100	25.0	0.1
0	5000	100	25.0	1.0
15	5000	100	125.0	0.001
34	5000	100	125.0	0.01
18	5000	100	125.0	0.1
0	5000	100	125.0	1.0
15	5000	200	1.0	0.001
32	5000	200	1.0	0.01
15	5000	200	1.0	0.1
16	5000	200	1.0	1.0
20	5000	200	5.0	0.001
16	5000	200	5.0	0.01
31	5000	200	5.0	0.1
0	5000	200	5.0	1.0
15	5000	200	25.0	0.001
32	5000	200	25.0	0.01
20	5000	200	25.0	0.1
0	5000	200	25.0	1.0
31	5000	200	125.0	0.001
16	5000	200	125.0	0.01
15	5000	200	125.0	0.1
16	5000	200	125.0	1.0
16	5000	300	1.0	0.001
20	5000	300	1.0	0.01
31	5000	300	1.0	0.1
0	5000	300	1.0	1.0
16	5000	300	5.0	0.001
31	5000	300	5.0	0.01
15	5000	300	5.0	0.1
16	5000	300	5.0	1.0
20	5000	300	25.0	0.001
16	5000	300	25.0	0.01
31	5000	300	25.0	0.1
0	5000	300	25.0	1.0
16	5000	300	125.0	0.001
33	5000	300	125.0	0.01
18	5000	300	125.0	0.1
0	5000	300	125.0	1.0
31	5000	400	1.0	0.001
16	5000	400	1.0	0.01
16	5000	400	1.0	0.1
15	5000	400	1.0	1.0
26	5000	400	5.0	0.001
9	5000	400	5.0	0.01
32	5000	400	5.0	0.1
0	5000	400	5.0	1.0
15	5000	400	25.0	0.001
37	5000	400	25.0	0.01
24	5000	400	25.0	0.1
4	5000	400	25.0	1.0
10	5000	400	125.0	0.001
31	5000	400	125.0	0.01
16	5000	400	125.0	0.1
0	5000	400	125.0	1.0
36	5000	500	1.0	0.001
15	5000	500	1.0	0.01
32	5000	500	1.0	0.1
0	5000	500	1.0	1.0
15	5000	500	5.0	0.001
35	5000	500	5.0	0.01
17	5000	500	5.0	0.1
0	5000	500	5.0	1.0
31	5000	500	25.0	0.001
16	5000	500	25.0	0.01
31	5000	500	25.0	0.1
0	5000	500	25.0	1.0
20	5000	500	125.0	0.001
16	5000	500	125.0	0.01
31	5000	500	125.0	0.1
0	5000	500	125.0	1.0
31	5000	600	1.0	0.001
16	5000	600	1.0	0.01
20	5000	600	1.0	0.1
15	5000	600	1.0	1.0
16	5000	600	5.0	0.001
31	5000	600	5.0	0.01
23	5000	600	5.0	0.1
1	5000	600	5.0	1.0
20	5000	600	25.0	0.001
16	5000	600	25.0	0.01
31	5000	600	25.0	0.1
0	5000	600	25.0	1.0
31	5000	600	125.0	0.001
16	5000	600	125.0	0.01
20	5000	600	125.0	0.1
16	5000	600	125.0	1.0
16	5000	700	1.0	0.001
15	5000	700	1.0	0.01
31	5000	700	1.0	0.1
0	5000	700	1.0	1.0
34	5000	700	5.0	0.001
18	5000	700	5.0	0.01
15	5000	700	5.0	0.1
16	5000	700	5.0	1.0
16	5000	700	25.0	0.001
31	5000	700	25.0	0.01
24	5000	700	25.0	0.1
6	5000	700	25.0	1.0
12	5000	700	125.0	0.001
31	5000	700	125.0	0.01
16	5000	700	125.0	0.1
0	5000	700	125.0	1.0
37	5000	800	1.0	0.001
23	5000	800	1.0	0.01
17	5000	800	1.0	0.1
0	5000	800	1.0	1.0
31	5000	800	5.0	0.001
16	5000	800	5.0	0.01
20	5000	800	5.0	0.1
0	5000	800	5.0	1.0
31	5000	800	25.0	0.001
16	5000	800	25.0	0.01
31	5000	800	25.0	0.1
0	5000	800	25.0	1.0
32	5000	800	125.0	0.001
19	5000	800	125.0	0.01
16	5000	800	125.0	0.1
0	5000	800	125.0	1.0
31	5000	900	1.0	0.001
16	5000	900	1.0	0.01
33	5000	900	1.0	0.1
2	5000	900	1.0	1.0
16	5000	900	5.0	0.001
31	5000	900	5.0	0.01
16	5000	900	5.0	0.1
0	5000	900	5.0	1.0
31	5000	900	25.0	0.001
20	5000	900	25.0	0.01
16	5000	900	25.0	0.1
15	5000	900	25.0	1.0
16	5000	900	125.0	0.001
31	5000	900	125.0	0.01
23	5000	900	125.0	0.1
1	5000	900	125.0	1.0
16	5000	1000	1.0	0.001
31	5000	1000	1.0	0.01
16	5000	1000	1.0	0.1
0	5000	1000	1.0	1.0
31	5000	1000	5.0	0.001
20	5000	1000	5.0	0.01
16	5000	1000	5.0	0.1
15	5000	1000	5.0	1.0
16	5000	1000	25.0	0.001
31	5000	1000	25.0	0.01
16	5000	1000	25.0	0.1
0	5000	1000	25.0	1.0
20	5000	1000	125.0	0.001
31	5000	1000	125.0	0.01
16	5000	1000	125.0	0.1
15	5000	1000	125.0	1.0
16	6000	100	1.0	0.001
40	6000	100	1.0	0.01
27	6000	100	1.0	0.1
4	6000	100	1.0	1.0
18	6000	100	5.0	0.001
31	6000	100	5.0	0.01
32	6000	100	5.0	0.1
3	6000	100	5.0	1.0
25	6000	100	25.0	0.001
28	6000	100	25.0	0.01
17	6000	100	25.0	0.1
16	6000	100	25.0	1.0
20	6000	100	125.0	0.001
31	6000	100	125.0	0.01
16	6000	100	125.0	0.1
15	6000	100	125.0	1.0
16	6000	200	1.0	0.001
36	6000	200	1.0	0.01
15	6000	200	1.0	0.1
16	6000	200	1.0	1.0
16	6000	200	5.0	0.001
31	6000	200	5.0	0.01
36	6000	200	5.0	0.1
0	6000	200	5.0	1.0
31	6000	200	25.0	0.001
15	6000	200	25.0	0.01
32	6000	200	25.0	0.1
0	6000	200	25.0	1.0
35	6000	200	125.0	0.001
16	6000	200	125.0	0.01
31	6000	200	125.0	0.1
0	6000	200	125.0	1.0
32	6000	300	1.0	0.001
35	6000	300	1.0	0.01
16	6000	300	1.0	0.1
16	6000	300	1.0	1.0
15	6000	300	5.0	0.001
31	6000	300	5.0	0.01
36	6000	300	5.0	0.1
0	6000	300	5.0	1.0
16	6000	300	25.0	0.001
31	6000	300	25.0	0.01
31	6000	300	25.0	0.1
0	6000	300	25.0	1.0
36	6000	300	125.0	0.001
16	6000	300	125.0	0.01
31	6000	300	125.0	0.1
0	6000	300	125.0	1.0
42	6000	400	1.0	0.001
27	6000	400	1.0	0.01
15	6000	400	1.0	0.1
16	6000	400	1.0	1.0
28	6000	400	5.0	0.001
27	6000	400	5.0	0.01
27	6000	400	5.0	0.1
4	6000	400	5.0	1.0
20	6000	400	25.0	0.001
31	6000	400	25.0	0.01
20	6000	400	25.0	0.1
0	6000	400	25.0	1.0
32	6000	400	125.0	0.001
31	6000	400	125.0	0.01
31	6000	400	125.0	0.1
0	6000	400	125.0	1.0
20	6000	500	1.0	0.001
32	6000	500	1.0	0.01
31	6000	500	1.0	0.1
0	6000	500	1.0	1.0
31	6000	500	5.0	0.001
20	6000	500	5.0	0.01
31	6000	500	5.0	0.1
0	6000	500	5.0	1.0
32	6000	500	25.0	0.001
31	6000	500	25.0	0.01
21	6000	500	25.0	0.1
16	6000	500	25.0	1.0
15	6000	500	125.0	0.001
32	6000	500	125.0	0.01
31	6000	500	125.0	0.1
0	6000	500	125.0	1.0
21	6000	600	1.0	0.001
31	6000	600	1.0	0.01
32	6000	600	1.0	0.1
0	6000	600	1.0	1.0
31	6000	600	5.0	0.001
21	6000	600	5.0	0.01
31	6000	600	5.0	0.1
0	6000	600	5.0	1.0
31	6000	600	25.0	0.001
32	6000	600	25.0	0.01
21	6000	600	25.0	0.1
15	6000	600	25.0	1.0
16	6000	600	125.0	0.001
31	6000	600	125.0	0.01
32	6000	600	125.0	0.1
0	6000	600	125.0	1.0
31	6000	700	1.0	0.001
31	6000	700	1.0	0.01
16	6000	700	1.0	0.1
15	6000	700	1.0	1.0
